"","age","parent","single","seeingfriends","household","accomplishment","entertainment","family","time","general","food"
"2756",20,0,1,0,1,0,0,0,0,0,0
"2758",37,0,0,0,0,0,0,0,1,0,0
"2762",19,0,1,0,0,1,0,0,0,0,0
"2763",28,0,0,0,0,0,0,0,0,0,1
"2764",27,0,1,0,0,0,0,1,0,0,0
"2766",30,0,1,0,0,0,0,1,0,0,0
"2767",62,1,0,0,0,0,1,0,0,0,0
"2768",25,0,1,0,0,0,1,0,0,0,0
"2769",34,0,1,0,0,1,0,0,0,0,0
"2770",67,1,0,0,0,1,0,0,0,0,0
"2771",21,0,1,0,1,0,0,0,0,0,0
"2772",29,0,1,1,0,0,0,0,0,0,0
"2773",34,0,1,0,0,0,0,0,0,1,0
"2775",40,0,1,0,0,0,0,0,1,0,0
"2776",23,0,1,0,0,0,0,1,0,0,0
"2778",25,1,1,0,0,0,1,0,0,0,0
"2780",51,1,0,0,0,0,0,0,0,1,0
"2781",57,1,0,0,0,1,0,0,0,0,0
"2782",49,0,1,0,0,1,0,0,0,0,0
"2783",24,0,1,0,0,0,0,0,0,0,1
"2784",61,1,0,0,0,0,0,0,1,0,0
"2786",23,0,1,0,0,0,0,1,0,0,0
"2787",55,0,1,0,1,0,0,0,0,0,0
"2788",23,1,0,0,0,0,0,0,0,0,1
"2791",44,1,0,0,1,0,0,0,0,0,0
"2792",41,0,1,1,0,0,0,0,0,0,0
"2793",39,1,0,0,0,0,0,0,0,1,0
"2795",28,0,1,0,0,0,0,0,0,1,0
"2796",49,1,0,0,0,0,1,0,0,0,0
"2799",34,0,0,1,0,0,0,0,0,0,0
"2800",33,1,0,0,1,0,0,0,0,0,0
"2801",34,1,0,0,0,1,0,0,0,0,0
"2803",40,0,1,0,0,1,0,0,0,0,0
"2807",42,1,0,0,0,0,0,0,0,0,1
"2809",23,0,1,0,0,0,0,1,0,0,0
"2813",22,0,1,0,0,0,0,0,0,0,1
"2814",23,0,1,0,0,0,0,0,0,1,0
"2815",20,1,0,0,0,0,0,0,0,0,1
"2816",26,0,1,0,0,0,0,0,0,0,1
"2818",45,1,0,0,0,0,1,0,0,0,0
"2820",33,1,0,0,0,0,0,1,0,0,0
"2821",83,1,0,1,0,0,0,0,0,0,0
"2823",20,0,1,0,0,1,0,0,0,0,0
"2825",21,0,1,0,0,0,1,0,0,0,0
"2826",56,0,1,0,0,0,1,0,0,0,0
"2828",30,0,0,0,0,1,0,0,0,0,0
"2830",64,0,1,0,1,0,0,0,0,0,0
"2832",47,0,1,0,0,0,0,0,0,0,1
"2833",30,0,0,0,1,0,0,0,0,0,0
"2834",67,0,0,0,0,0,1,0,0,0,0
"2836",21,0,1,0,0,0,0,0,1,0,0
"2837",27,0,1,0,0,0,0,0,1,0,0
"2838",30,0,1,0,0,0,1,0,0,0,0
"2839",20,0,1,0,0,0,0,1,0,0,0
"2840",29,1,0,0,0,1,0,0,0,0,0
"2841",21,0,1,0,0,1,0,0,0,0,0
"2843",65,1,0,0,0,1,0,0,0,0,0
"2846",30,0,1,1,0,0,0,0,0,0,0
"2848",76,1,0,0,0,0,1,0,0,0,0
"2852",27,0,1,0,0,1,0,0,0,0,0
"2856",35,1,0,0,0,0,0,0,0,1,0
"2858",46,0,1,0,0,0,1,0,0,0,0
"2859",56,0,0,1,0,0,0,0,0,0,0
"2863",33,0,0,1,0,0,0,0,0,0,0
"2864",74,1,0,0,0,1,0,0,0,0,0
"2867",27,0,1,0,0,1,0,0,0,0,0
"2869",23,1,0,0,0,0,0,0,0,0,1
"2870",45,1,0,0,0,0,0,0,1,0,0
"2871",27,0,1,0,0,0,0,0,0,0,1
"2872",76,1,0,0,0,0,0,0,1,0,0
"2876",68,1,0,0,0,0,0,1,0,0,0
"2877",51,0,1,0,0,0,0,1,0,0,0
"2878",47,1,0,0,0,0,0,0,1,0,0
"2879",25,0,1,0,0,0,0,0,0,0,1
"2880",45,1,0,0,0,0,0,0,1,0,0
"2882",80,0,0,0,0,0,1,0,0,0,0
"2883",46,1,1,0,0,0,1,0,0,0,0
"2886",45,0,1,0,0,0,0,0,1,0,0
"2890",39,1,0,1,0,0,0,0,0,0,0
"2892",20,0,1,0,0,0,0,0,0,1,0
"2894",66,0,1,0,0,0,1,0,0,0,0
"2895",33,1,0,1,0,0,0,0,0,0,0
"2898",28,0,1,1,0,0,0,0,0,0,0
"2900",43,1,0,0,0,0,0,0,0,0,1
"2901",32,1,0,0,0,0,0,1,0,0,0
"2904",44,0,1,0,1,0,0,0,0,0,0
"2906",45,0,0,0,0,0,0,1,0,0,0
"2908",39,1,0,0,0,0,0,0,0,0,1
"2911",83,0,0,0,0,0,0,0,1,0,0
"2913",54,1,0,0,0,0,0,0,0,1,0
"2915",79,1,0,0,0,0,0,0,1,0,0
"2921",30,1,1,0,0,1,0,0,0,0,0
"2922",22,0,1,0,0,1,0,0,0,0,0
"2924",37,1,0,0,0,0,0,0,1,0,0
"2927",41,0,0,1,0,0,0,0,0,0,0
"2930",25,1,0,0,0,1,0,0,0,0,0
"2933",40,1,0,0,1,0,0,0,0,0,0
"2934",78,0,0,0,0,0,1,0,0,0,0
"2937",60,1,0,0,0,0,0,0,1,0,0
"2939",51,0,1,0,0,0,1,0,0,0,0
"2940",29,0,1,0,0,0,0,0,0,0,1
"2941",43,1,1,0,0,0,0,0,0,0,1
"2943",64,0,1,0,1,0,0,0,0,0,0
"2944",23,0,1,0,0,1,0,0,0,0,0
"2945",50,0,0,0,0,0,0,0,0,0,1
"2948",29,1,1,0,1,0,0,0,0,0,0
"2950",35,0,0,0,0,1,0,0,0,0,0
"2953",35,1,0,0,0,0,0,0,0,1,0
"2954",60,1,0,0,0,0,0,0,0,1,0
"2955",28,1,0,0,0,0,0,0,0,1,0
"2956",61,1,1,0,1,0,0,0,0,0,0
"2957",41,1,0,0,0,0,0,0,0,0,1
"2959",30,0,1,0,0,0,1,0,0,0,0
"2960",27,0,1,0,0,1,0,0,0,0,0
"2965",58,0,1,0,1,0,0,0,0,0,0
"2967",26,0,1,0,1,0,0,0,0,0,0
"2971",82,1,0,0,0,0,1,0,0,0,0
"2977",39,1,1,0,1,0,0,0,0,0,0
"2980",23,0,1,0,0,1,0,0,0,0,0
"2981",39,1,0,0,0,0,0,0,1,0,0
"2982",64,1,0,0,1,0,0,0,0,0,0
"2983",49,0,1,0,0,1,0,0,0,0,0
"2984",27,1,0,0,0,0,0,0,0,1,0
"2986",58,1,0,1,0,0,0,0,0,0,0
"2988",44,1,0,0,0,1,0,0,0,0,0
"2989",26,0,1,0,0,0,0,0,0,0,1
"2990",56,1,0,0,0,0,1,0,0,0,0
"2991",85,1,0,0,0,0,1,0,0,0,0
"2992",64,1,0,0,0,0,0,0,1,0,0
"2994",25,0,1,1,0,0,0,0,0,0,0
"2995",21,0,0,1,0,0,0,0,0,0,0
"2996",79,1,0,0,0,0,0,0,0,0,1
"2997",25,0,0,0,0,0,0,0,0,1,0
"2998",27,0,1,1,0,0,0,0,0,0,0
"2999",30,1,0,0,0,0,0,0,0,0,1
"3000",47,0,1,0,1,0,0,0,0,0,0
"3001",43,1,1,0,0,1,0,0,0,0,0
"3002",63,1,0,1,0,0,0,0,0,0,0
"3003",49,1,0,0,0,1,0,0,0,0,0
"3006",34,0,1,0,0,0,0,0,0,1,0
"3007",47,0,0,0,0,1,0,0,0,0,0
"3010",21,0,1,0,0,0,1,0,0,0,0
"3011",33,0,1,0,0,1,0,0,0,0,0
"3013",30,1,0,0,0,1,0,0,0,0,0
"3014",42,0,1,0,0,0,0,1,0,0,0
"3022",28,1,0,0,0,0,0,0,0,1,0
"3023",21,0,1,0,0,0,1,0,0,0,0
"3024",33,0,0,0,0,0,0,0,0,0,1
"3025",19,1,0,0,0,1,0,0,0,0,0
"3026",36,1,0,0,1,0,0,0,0,0,0
"3027",33,0,1,1,0,0,0,0,0,0,0
"3029",64,1,0,0,0,0,0,1,0,0,0
"3030",19,0,1,0,1,0,1,0,0,0,0
"3032",76,1,0,0,0,0,0,1,0,0,0
"3033",33,1,0,0,0,1,0,0,0,0,0
"3034",40,1,1,1,0,0,0,0,0,0,0
"3037",30,1,0,0,0,0,0,1,0,0,0
"3039",22,0,1,1,0,0,0,0,0,0,1
"3040",28,0,1,0,1,0,0,0,0,0,0
"3041",24,0,1,0,0,0,0,0,0,0,1
"3042",30,0,0,0,1,0,0,0,0,0,0
"3043",38,1,0,0,0,0,1,0,0,0,0
"3044",35,1,0,0,0,1,0,0,0,0,0
"3046",23,0,1,0,0,0,0,0,0,0,1
"3047",25,0,0,0,1,0,0,0,0,0,0
"3048",37,0,1,0,0,1,0,0,0,0,0
"3049",29,1,0,0,0,1,0,0,0,0,0
"3050",29,1,0,0,0,1,0,0,0,0,0
"3051",81,1,0,0,0,1,0,0,0,0,0
"3052",24,0,1,0,0,0,0,1,0,0,0
"3053",33,0,1,0,0,0,0,0,1,0,0
"3056",25,0,1,1,0,0,0,0,0,0,0
"3057",23,0,1,0,0,1,0,0,0,0,0
"3058",23,0,1,0,0,0,0,0,0,1,0
"3059",21,0,1,0,1,0,0,0,0,0,0
"3060",24,0,1,0,0,0,0,0,0,1,0
"3066",40,0,1,1,0,0,0,0,0,0,0
"3067",20,0,1,0,0,0,0,1,0,0,0
"3070",41,0,1,0,0,0,0,0,0,0,1
"3071",23,1,0,0,0,0,0,0,0,0,1
"3072",44,0,1,0,1,0,0,0,0,0,0
"3073",49,1,0,0,0,0,1,0,0,0,0
"3074",29,1,1,1,0,0,0,0,0,0,0
"3075",39,1,0,0,0,0,0,0,1,0,0
"3078",41,1,1,1,0,0,0,0,0,0,0
"3081",35,0,1,0,0,0,0,0,0,0,1
"3082",44,1,0,1,0,0,0,0,0,0,0
"3083",40,1,0,1,0,0,0,0,0,0,0
"3084",22,0,1,0,0,0,0,1,0,0,0
"3086",21,0,1,0,1,0,0,0,0,0,0
"3087",54,1,0,0,0,0,1,0,0,0,0
"3088",42,1,0,0,1,0,0,0,0,0,0
"3089",51,1,0,0,1,1,0,0,1,0,0
"3090",84,1,0,0,0,0,0,0,0,1,0
"3092",39,1,0,0,0,1,0,0,1,0,1
"3094",43,1,0,0,0,0,0,1,0,0,0
"3098",39,1,1,0,0,0,0,0,0,0,1
"3101",42,1,0,0,0,1,0,0,0,0,0
"3102",38,0,0,0,0,0,1,0,0,0,0
"3103",74,1,0,0,0,1,0,0,0,0,0
"3105",26,1,0,1,0,0,0,0,0,0,0
"3106",82,1,0,0,0,1,0,0,0,0,0
"3107",27,0,1,1,0,0,0,0,0,0,0
"3112",23,0,1,0,0,1,0,0,0,0,0
"3113",30,0,0,0,0,1,0,0,0,0,0
"3114",45,0,0,0,0,1,0,0,0,0,0
"3115",21,0,1,0,1,0,0,0,0,0,0
"3116",62,1,0,0,0,0,0,0,0,0,1
"3118",23,0,1,0,0,1,0,0,0,0,0
"3119",34,1,0,0,0,0,1,0,0,0,0
"3121",68,0,0,0,0,1,0,0,0,0,0
"3122",43,1,0,1,0,0,0,0,0,0,0
"3124",41,0,1,1,0,0,0,0,0,0,0
"3125",23,0,1,0,0,0,1,0,0,0,0
"3126",21,1,0,1,0,0,0,0,0,0,0
"3127",68,0,1,0,0,0,0,1,0,0,0
"3130",41,0,0,0,0,0,0,1,0,0,0
"3131",43,1,0,0,1,0,0,0,0,0,0
"3133",38,0,1,0,0,1,0,0,0,0,0
"3134",28,1,0,0,0,1,0,0,0,0,0
"3138",22,0,1,1,0,0,0,0,0,0,0
"3140",38,0,1,1,0,0,0,0,0,0,0
"3141",28,0,1,0,0,0,0,0,0,0,1
"3142",30,1,0,0,0,0,1,0,0,0,0
"3143",23,0,1,1,0,0,0,0,0,0,0
"3145",27,0,1,0,0,0,1,0,0,0,0
"3148",56,0,0,0,1,0,0,0,0,0,0
"3151",27,1,0,0,0,0,0,0,1,0,0
"3153",43,1,0,0,0,0,0,0,0,0,1
"3154",34,0,1,0,0,1,0,0,0,0,0
"3155",57,1,1,0,0,0,1,0,0,0,0
"3158",37,1,0,0,0,0,0,1,0,0,0
"3160",25,0,0,0,0,1,0,0,0,0,0
"3161",29,0,1,0,0,1,0,0,0,0,0
"3167",19,0,1,1,0,0,0,0,0,0,0
"3168",21,0,1,0,0,0,0,1,0,0,0
"3169",45,0,1,0,0,0,0,1,0,0,0
"3173",37,0,0,0,0,0,0,0,0,1,0
"3177",24,1,0,0,0,0,0,0,0,1,0
"3178",41,1,1,0,0,0,0,0,0,0,1
"3179",35,0,0,0,0,0,1,0,0,0,0
"3180",19,0,1,0,0,0,0,0,0,0,1
"3182",33,0,1,0,0,0,0,0,1,0,0
"3183",66,0,1,0,1,0,0,0,0,0,0
"3184",82,0,1,0,0,0,0,1,0,0,0
"3186",34,1,1,0,0,1,0,0,0,0,0
"3187",62,1,0,0,0,1,0,0,0,0,0
"3188",62,1,1,0,0,0,1,0,0,0,0
"3192",77,0,0,0,0,1,0,0,0,0,0
"3193",23,0,1,0,0,1,0,0,0,0,0
"3194",83,1,0,0,0,0,0,0,0,0,1
"3196",22,0,1,0,0,0,1,0,0,0,0
"3197",39,1,0,0,0,0,0,0,0,0,1
"3200",66,1,0,0,0,0,0,0,0,0,1
"3201",72,1,0,0,1,0,0,0,0,0,0
"3202",44,1,1,0,0,1,0,0,0,0,0
"3203",27,0,1,1,0,0,0,0,0,0,0
"3204",25,1,0,0,0,0,0,1,0,0,0
"3205",33,0,1,0,0,0,0,1,0,0,0
"3206",43,1,0,0,0,0,1,0,0,0,0
"3207",77,1,0,0,0,0,0,1,0,0,0
"3209",84,0,0,0,0,0,0,1,0,0,0
"3210",37,1,0,0,0,0,0,1,0,0,0
"3212",42,1,0,0,0,0,0,0,1,0,0
"3213",69,1,0,0,0,1,0,0,0,0,0
"3214",25,1,1,1,0,0,0,0,0,0,0
"3215",57,1,0,0,0,0,1,0,0,0,0
"3216",28,0,1,0,0,0,0,0,1,0,0
"3217",84,0,1,0,0,0,0,1,0,0,0
"3218",39,1,0,0,0,0,1,0,0,0,0
"3219",51,1,0,0,0,0,1,0,0,0,0
"3220",47,1,0,1,0,0,0,0,0,0,0
"3225",63,0,0,0,0,0,1,0,0,0,0
"3226",47,0,1,0,0,0,0,0,0,0,1
"3228",25,0,1,0,0,0,0,0,1,0,0
"3229",37,0,1,0,0,0,0,1,0,0,0
"3230",34,1,1,0,0,0,0,0,1,0,0
"3231",37,1,0,0,1,0,0,0,0,0,0
"3232",38,0,0,0,0,0,1,0,0,0,0
"3233",37,0,1,0,0,0,1,0,0,0,0
"3234",33,0,0,0,1,0,0,0,0,0,0
"3235",24,1,0,0,0,1,0,0,0,0,0
"3236",28,1,0,0,0,0,0,0,0,1,0
"3237",61,0,1,0,0,0,0,0,0,1,0
"3238",26,0,1,0,0,0,0,0,0,0,1
"3239",39,1,0,0,1,0,0,0,0,0,0
"3241",42,1,0,0,0,0,1,0,0,0,0
"3242",65,1,0,0,0,0,0,0,0,0,1
"3244",36,0,1,0,1,0,0,0,0,0,0
"3246",56,1,0,0,0,0,0,1,0,0,0
"3247",39,0,0,0,0,0,0,0,0,0,1
"3248",50,1,0,1,0,0,0,0,0,0,0
"3250",49,1,0,1,0,0,0,0,0,0,0
"3252",62,0,0,1,0,0,0,0,0,0,0
"3253",66,0,0,0,1,0,0,0,0,0,0
"3255",19,0,1,0,0,1,0,0,0,0,0
"3256",39,1,0,0,0,0,0,0,1,0,0
"3257",62,0,1,0,0,0,0,0,0,0,1
"3258",20,0,1,0,0,0,0,0,0,0,1
"3259",27,0,0,0,1,0,0,0,0,0,0
"3260",73,1,1,0,1,0,0,0,0,0,0
"3262",37,1,0,0,0,0,0,0,1,0,0
"3263",54,1,0,0,0,1,0,0,0,0,0
"3266",36,0,0,0,0,0,0,0,0,0,1
"3269",41,0,0,0,0,0,0,0,1,0,0
"3271",38,0,1,1,0,0,0,0,0,0,0
"3272",80,1,0,1,0,0,0,0,0,0,0
"3275",78,1,0,0,0,0,0,0,0,0,1
"3277",25,1,1,0,0,0,0,1,0,0,0
"3278",24,0,1,0,0,1,0,0,0,0,0
"3282",71,1,0,0,0,0,0,1,0,0,0
"3284",21,0,1,0,0,0,0,0,0,0,1
"3287",43,0,0,1,0,0,0,0,0,0,0
"3289",20,0,1,1,0,0,0,0,0,0,0
"3291",42,1,0,0,1,0,0,0,0,0,0
"3295",61,1,0,0,0,0,0,0,0,0,1
"3296",29,0,1,0,0,1,0,0,0,0,0
"3297",40,1,0,0,0,0,0,0,0,0,1
"3298",35,0,0,0,0,0,0,0,0,1,0
"3301",25,1,1,0,0,0,1,0,0,0,0
"3302",40,0,1,0,0,0,0,0,0,0,1
"3304",35,1,1,0,0,0,1,0,0,0,0
"3305",34,0,1,0,0,0,0,0,0,1,0
"3306",40,0,1,0,0,0,0,0,1,0,0
"3307",43,1,1,0,0,0,0,1,0,0,0
"3309",36,1,0,0,0,1,0,0,0,0,0
"3310",23,1,1,0,0,0,0,0,0,0,1
"3311",20,0,1,0,0,0,1,0,0,0,0
"3312",20,0,1,0,0,0,0,0,0,1,0
"3313",25,0,1,1,0,0,0,0,0,0,0
"3314",48,1,0,0,0,0,0,0,1,0,0
"3316",23,1,0,0,0,0,0,1,0,0,0
"3317",54,0,1,0,0,0,1,0,0,0,0
"3319",29,0,0,0,0,0,0,1,0,0,0
"3320",38,1,1,0,0,0,0,0,0,0,1
"3321",39,0,1,0,0,0,1,0,0,0,0
"3322",59,1,0,0,0,0,0,1,0,0,0
"3323",51,1,0,0,0,0,0,0,1,0,0
"3324",19,0,1,0,0,0,0,0,0,0,1
"3325",23,0,1,1,0,0,0,0,0,0,0
"3328",37,1,0,0,0,0,0,0,0,0,1
"3329",19,0,1,0,0,0,0,1,0,0,0
"3331",27,0,1,0,1,0,0,0,0,0,0
"3332",26,0,1,0,0,0,0,0,1,0,0
"3335",47,1,0,0,0,0,1,0,0,0,0
"3336",21,0,1,0,0,1,0,0,0,0,0
"3337",59,1,0,0,0,0,0,0,0,0,1
"3338",34,0,1,0,0,0,0,0,0,0,1
"3341",64,1,0,1,0,0,0,0,0,0,0
"3342",34,0,1,0,0,0,0,0,0,0,1
"3343",54,0,0,0,1,0,0,0,0,0,0
"3344",23,0,1,0,0,0,0,0,1,0,0
"3345",29,0,0,0,0,0,0,1,0,0,0
"3348",26,0,0,1,0,0,0,0,0,0,0
"3351",68,0,1,0,0,0,1,0,0,0,0
"3352",54,1,0,1,0,0,0,0,0,0,0
"3353",19,0,0,0,0,0,0,1,0,0,0
"3354",35,0,1,0,0,1,0,0,0,0,0
"3356",35,1,0,0,0,0,0,0,0,1,0
"3358",60,0,1,0,0,0,0,0,0,0,1
"3360",23,0,1,0,1,0,0,0,0,0,0
"3362",33,1,0,0,0,1,0,0,0,0,0
"3363",72,1,0,0,0,1,0,0,0,0,0
"3364",41,0,1,0,0,1,0,0,0,0,0
"3366",37,1,0,0,0,0,1,0,0,0,0
"3369",44,0,1,1,0,0,0,0,0,0,0
"3370",35,1,0,0,0,0,1,0,0,0,0
"3374",63,1,0,1,0,0,0,0,0,0,0
"3376",39,0,0,0,0,0,1,0,0,0,0
"3377",42,1,0,0,0,0,0,0,0,0,1
"3378",49,1,0,1,0,0,0,0,0,0,0
"3379",64,1,0,0,0,0,0,0,0,0,1
"3380",51,1,0,0,0,1,0,0,0,0,0
"3383",72,1,0,0,0,0,0,1,0,0,0
"3384",43,1,0,0,1,0,0,0,0,0,0
"3386",38,0,0,0,0,0,1,0,0,0,0
"3388",46,0,1,0,1,0,0,0,0,0,0
"3389",19,0,1,0,0,0,0,0,1,0,0
"3390",35,0,1,0,0,0,1,0,0,0,0
"3392",84,1,0,0,0,0,0,0,1,0,0
"3393",33,0,0,0,0,1,0,0,0,0,0
"3394",45,0,1,0,0,0,0,1,0,0,0
"3396",58,0,0,0,1,0,0,0,0,0,0
"3400",51,0,0,0,0,0,0,1,0,0,0
"3402",21,0,1,0,0,0,0,0,1,0,0
"3403",70,0,1,0,1,0,0,0,0,0,0
"3404",74,1,1,0,0,0,0,1,0,0,0
"3405",50,0,1,0,0,0,0,0,0,1,0
"3406",47,0,1,0,0,0,0,0,0,0,1
"3407",21,0,0,0,0,0,1,0,0,0,0
"3409",26,1,0,0,0,1,0,0,0,0,0
"3412",21,0,1,0,0,0,0,1,0,0,0
"3414",48,0,1,1,0,0,0,0,0,0,0
"3415",47,1,1,0,0,0,0,0,1,0,0
"3416",28,0,1,0,1,0,0,0,0,0,0
"3419",24,0,1,0,0,0,1,0,0,0,0
"3421",39,0,1,0,0,0,0,1,0,0,0
"3422",54,0,1,0,0,1,0,0,0,0,0
"3424",46,1,0,0,0,0,0,0,0,0,1
"3425",41,1,0,0,0,0,0,0,0,1,0
"3427",74,1,0,1,0,0,0,0,0,0,0
"3432",33,0,1,0,0,0,0,0,0,1,0
"3435",46,0,0,0,0,0,0,0,1,0,0
"3437",25,0,1,0,0,1,0,0,0,0,0
"3439",74,1,0,0,0,0,0,1,0,0,0
"3440",24,0,1,0,0,0,0,0,1,0,0
"3441",60,0,1,0,0,0,0,1,0,0,0
"3444",28,0,1,1,0,0,0,0,0,0,0
"3446",23,1,0,0,0,0,1,0,0,0,0
"3448",29,0,1,0,1,0,0,0,0,0,0
"3451",25,0,1,0,1,0,0,0,0,0,0
"3455",51,1,0,0,0,1,0,0,0,0,0
"3456",22,0,1,0,0,1,0,0,0,0,0
"3458",39,1,0,0,0,0,0,0,0,0,1
"3459",24,0,1,1,0,0,0,0,0,0,0
"3462",64,1,0,0,0,0,1,0,0,0,0
"3465",70,1,0,0,0,1,0,0,0,0,0
"3466",33,0,1,0,0,1,0,0,0,0,0
"3468",34,0,1,0,0,0,0,0,1,0,0
"3472",27,0,0,0,0,0,1,0,0,0,0
"3473",39,1,1,1,0,0,0,0,0,0,0
"3474",42,1,0,0,0,0,1,0,0,0,0
"3475",62,1,0,0,0,0,1,0,0,0,0
"3477",47,0,1,0,1,0,0,0,0,0,0
"3478",33,1,0,0,0,0,0,0,0,0,1
"3479",54,0,1,0,1,0,0,0,0,0,0
"3480",62,1,0,0,0,0,1,0,0,0,0
"3482",37,1,0,0,0,1,0,0,0,0,0
"3483",19,0,1,0,0,1,0,0,0,0,0
"3484",72,1,0,0,0,0,1,0,0,0,0
"3488",19,0,1,0,0,0,0,0,0,1,0
"3489",30,0,1,0,0,0,0,0,1,0,0
"3491",41,1,0,0,0,1,0,0,0,0,0
"3493",35,1,0,0,1,0,0,0,0,0,0
"3495",21,0,1,0,0,0,0,0,0,1,0
"3497",34,0,1,0,0,0,1,0,0,0,0
"3499",22,0,1,0,0,1,0,0,0,0,0
"3500",34,1,0,0,0,1,0,0,0,0,0
"3502",84,1,0,1,0,0,0,0,0,0,0
"3505",38,0,0,0,1,0,0,0,0,0,0
"3506",29,0,1,0,1,0,0,0,0,0,0
"3507",50,0,1,0,0,0,0,0,0,0,1
"3508",33,0,1,0,0,0,1,0,0,0,0
"3512",24,0,1,0,0,0,1,0,0,0,0
"3514",23,0,1,0,0,0,0,0,0,0,1
"3515",45,0,0,0,0,1,0,0,0,0,0
"3517",62,1,0,1,0,0,0,0,0,0,0
"3518",35,1,0,0,0,0,0,0,0,0,1
"3522",34,0,1,0,0,0,0,0,1,0,0
"3523",22,0,0,0,0,0,0,1,0,0,0
"3524",71,1,0,0,0,0,0,1,0,0,0
"3525",58,1,0,0,0,0,0,1,0,0,0
"3526",85,0,0,0,0,0,0,0,0,1,0
"3527",36,0,1,1,0,0,0,0,0,0,0
"3528",33,1,0,1,0,0,0,0,0,1,0
"3532",64,1,0,0,1,0,0,1,0,0,0
"3534",20,0,1,0,0,1,0,0,0,0,0
"3536",35,1,0,0,0,0,0,0,0,0,1
"3538",45,0,1,0,0,0,1,0,0,0,0
"3540",41,0,0,0,0,1,0,0,0,0,0
"3542",37,0,1,0,0,0,1,0,0,0,0
"3544",56,1,0,0,1,0,0,0,0,0,0
"3545",37,1,0,0,0,1,0,0,0,0,0
"3546",67,1,0,0,0,0,0,1,0,0,0
"3548",66,1,0,0,0,0,0,1,0,0,0
"3549",40,1,0,0,1,0,0,0,0,0,0
"3550",25,0,1,0,0,0,0,1,0,0,0
"3552",21,0,1,1,0,0,0,0,0,0,0
"3558",33,0,1,0,0,1,0,0,0,0,0
"3559",55,1,0,0,1,0,0,0,0,0,0
"3561",54,1,0,0,0,1,0,0,0,0,0
"3562",33,0,1,0,0,0,1,0,0,0,0
"3564",74,0,1,1,0,0,0,0,0,0,0
"3567",34,0,0,0,1,0,0,0,0,0,0
"3568",77,1,0,0,1,0,0,0,0,0,0
"3569",19,0,1,0,0,1,0,0,0,0,0
"3572",38,0,1,0,0,0,0,0,0,1,0
"3573",37,1,0,0,0,0,0,0,0,1,0
"3574",50,0,0,0,0,0,0,0,1,0,0
"3575",50,1,1,0,0,1,0,0,0,0,0
"3577",51,1,0,0,0,0,0,1,0,0,0
"3579",52,1,0,0,0,0,1,0,0,0,0
"3582",19,1,1,1,0,0,0,0,0,0,0
"3587",64,1,0,0,0,1,0,0,0,0,0
"3588",22,0,1,0,0,0,1,0,0,0,0
"3591",47,1,0,0,0,0,1,0,0,0,0
"3592",55,0,0,0,0,0,0,0,0,1,0
"3594",75,1,0,0,0,0,0,0,1,0,0
"3595",25,1,0,0,1,0,0,0,0,0,0
"3597",29,0,1,1,0,0,0,0,0,0,0
"3598",39,0,1,0,1,0,0,0,0,0,0
"3599",26,0,1,0,0,0,0,1,0,0,0
"3601",83,0,1,0,0,0,0,1,0,0,0
"3602",56,0,1,0,0,0,1,0,0,0,0
"3603",28,0,1,0,0,0,0,0,0,0,1
"3605",37,1,0,0,0,0,0,0,0,1,0
"3606",26,1,0,0,0,0,1,0,0,0,0
"3607",35,0,0,0,0,0,0,0,1,0,0
"3608",44,0,1,0,0,0,0,1,0,0,0
"3609",50,1,0,0,0,0,0,0,0,0,1
"3610",19,0,1,1,0,0,0,0,0,0,0
"3616",38,1,0,1,0,0,0,0,0,0,0
"3617",19,0,1,0,0,0,0,0,1,0,0
"3620",41,1,0,1,0,0,0,0,0,0,0
"3622",45,1,0,0,0,0,0,0,0,0,1
"3623",34,1,0,0,0,0,0,0,0,0,1
"3624",27,0,1,0,0,1,0,0,0,0,0
"3626",43,1,0,0,0,1,0,0,0,0,0
"3627",47,0,1,0,0,0,1,0,0,0,0
"3629",37,0,1,0,1,0,0,0,0,0,0
"3630",25,0,0,0,0,0,1,0,0,0,0
"3631",27,0,1,1,0,0,0,0,0,0,0
"3632",42,1,0,0,0,0,1,0,0,0,0
"3633",43,1,0,0,0,0,0,0,0,1,0
"3634",19,0,1,1,0,0,0,0,0,0,0
"3636",54,0,1,0,0,0,0,0,0,0,1
"3637",84,0,0,0,0,1,0,0,0,0,0
"3639",56,1,0,0,0,0,1,0,0,0,0
"3640",59,1,1,1,0,0,0,0,0,0,0
"3643",28,0,1,0,0,0,1,0,0,0,0
"3644",84,1,0,0,0,0,1,0,0,0,0
"3646",35,0,1,0,0,0,0,0,0,0,1
"3647",43,1,0,0,0,0,0,0,0,1,0
"3649",37,0,0,0,0,0,0,0,1,0,0
"3650",52,1,0,1,0,0,0,0,0,0,0
"3653",21,0,1,0,1,0,0,0,0,0,0
"3657",61,1,0,0,0,1,0,0,0,0,0
"3661",68,1,0,0,0,0,0,0,0,1,0
"3663",42,1,0,0,0,0,0,0,0,1,0
"3664",33,1,1,0,0,0,0,0,0,1,0
"3666",43,0,1,0,0,0,0,0,0,0,1
"3667",22,0,1,0,0,0,0,0,1,0,0
"3669",37,0,0,0,0,0,0,0,1,0,0
"3670",37,0,1,0,0,0,0,0,1,0,0
"3671",35,0,1,0,0,1,0,0,0,0,0
"3675",55,1,1,0,0,0,0,0,0,1,0
"3676",21,0,0,0,0,0,0,0,0,0,1
